2025-06-19 20:12:49 - User: frunk, Character: frunk, Day: monday, Block: block1, Length: 4 chars
2025-06-19 20:12:50 - User: frunk, Character: frunk, Day: tuesday, Block: block1, Length: 4 chars
2025-06-19 20:12:51 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 4 chars
2025-06-19 20:12:52 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 4 chars
2025-06-19 20:28:33 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 44 chars
2025-06-19 20:28:34 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 45 chars
2025-06-19 20:28:56 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 45 chars
2025-06-19 20:28:56 - User: frunk, Character: frunk, Day: friday, Block: block1, Length: 0 chars
2025-06-19 20:28:56 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 45 chars
2025-06-19 20:28:58 - User: frunk, Character: frunk, Day: friday, Block: block1, Length: 0 chars
2025-06-19 20:32:30 - User: frunk, Character: frunk, Day: tuesday, Block: block1, Length: 4 chars
2025-06-19 20:32:32 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 35 chars
2025-06-19 20:32:34 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 44 chars
2025-06-19 20:32:36 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 44 chars
2025-06-19 20:32:40 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 44 chars
2025-06-19 20:38:00 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 44 chars
2025-06-19 20:38:02 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 44 chars
2025-06-19 20:43:21 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 44 chars
2025-06-19 20:43:22 - User: frunk, Character: frunk, Day: friday, Block: block1, Length: 0 chars
2025-06-19 20:43:23 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 44 chars
2025-06-19 20:43:28 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 47 chars
2025-06-19 20:43:28 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 47 chars
2025-06-19 20:43:31 - User: frunk, Character: frunk, Day: friday, Block: block1, Length: 5 chars
2025-06-19 20:50:04 - User: frunk, Character: frunk, Day: friday, Block: block1, Length: 8 chars
2025-06-19 20:50:39 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 48 chars
2025-06-19 20:50:40 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 48 chars
2025-06-19 20:52:24 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 48 chars
2025-06-19 21:03:26 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 8 chars
2025-06-19 21:03:28 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 20 chars
2025-06-19 21:03:34 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 46 chars
2025-06-19 21:03:37 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 52 chars
2025-06-19 21:03:40 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 69 chars
2025-06-19 21:03:44 - User: frunk, Character: frunk, Day: thursday, Block: block1, Length: 0 chars
2025-06-19 21:16:02 - User: sharon, Character: sharon, Day: monday, Block: block3, Length: 1 chars
2025-06-19 21:16:03 - User: sharon, Character: sharon, Day: monday, Block: block3, Length: 3 chars
2025-06-19 21:16:04 - User: sharon, Character: sharon, Day: monday, Block: block3, Length: 3 chars
2025-06-19 21:16:06 - User: sharon, Character: sharon, Day: tuesday, Block: block2, Length: 5 chars
2025-06-19 21:16:07 - User: sharon, Character: sharon, Day: tuesday, Block: block2, Length: 9 chars
2025-06-19 21:16:07 - User: sharon, Character: sharon, Day: tuesday, Block: block2, Length: 9 chars
2025-06-19 21:16:25 - User: sharon, Character: sharon, Day: thursday, Block: block2, Length: 0 chars
2025-06-19 21:16:26 - User: sharon, Character: sharon, Day: tuesday, Block: block2, Length: 0 chars
2025-06-19 21:16:27 - User: sharon, Character: sharon, Day: tuesday, Block: block2, Length: 0 chars
2025-06-19 21:16:28 - User: sharon, Character: sharon, Day: monday, Block: block3, Length: 0 chars
2025-06-19 21:16:29 - User: sharon, Character: sharon, Day: monday, Block: block3, Length: 0 chars
2025-06-24 01:35:53 - User: frunk, Character: frunk, Day: friday, Block: block1, Length: 0 chars
2025-06-24 01:35:57 - User: frunk, Character: frunk, Day: friday, Block: block1, Length: 0 chars
2025-06-24 01:35:58 - User: frunk, Character: frunk, Day: tuesday, Block: block1, Length: 0 chars
2025-06-24 01:35:59 - User: frunk, Character: frunk, Day: monday, Block: block1, Length: 0 chars
2025-06-24 01:36:04 - User: frunk, Character: frunk, Day: monday, Block: block1, Length: 0 chars
2025-06-24 03:54:48 - User: sharon, Character: sharon, Day: monday, Block: block2, Length: 2 chars
2025-06-24 03:54:52 - User: sharon, Character: sharon, Day: monday, Block: block2, Length: 21 chars
2025-06-24 03:54:55 - User: sharon, Character: sharon, Day: tuesday, Block: block2, Length: 0 chars
2025-06-24 03:55:02 - User: sharon, Character: sharon, Day: monday, Block: block1, Length: 0 chars
2025-06-30 20:23:33 - User: frunk, Character: frunk, Week: 1, Day: monday, Block: block1, Length: 5 chars
2025-06-30 20:23:35 - User: frunk, Character: frunk, Week: 1, Day: monday, Block: block1, Length: 5 chars
2025-06-30 20:23:49 - User: sharon, Character: sharon, Week: 1, Day: monday, Block: block1, Length: 4 chars
2025-06-30 20:23:52 - User: sharon, Character: sharon, Week: 1, Day: monday, Block: block1, Length: 6 chars
2025-06-30 20:23:52 - User: sharon, Character: sharon, Week: 1, Day: monday, Block: block1, Length: 6 chars
2025-06-30 20:24:38 - User: sharon, Character: sharon, Week: 1, Day: monday, Block: block2, Length: 10 chars
2025-06-30 20:24:39 - User: sharon, Character: sharon, Week: 1, Day: monday, Block: block2, Length: 10 chars
2025-06-30 20:24:42 - User: sharon, Character: sharon, Week: 2, Day: monday, Block: block1, Length: 10 chars
2025-06-30 20:24:45 - User: sharon, Character: sharon, Week: 2, Day: monday, Block: block1, Length: 10 chars
2025-06-30 20:24:47 - User: sharon, Character: sharon, Week: 3, Day: monday, Block: block1, Length: 5 chars
2025-06-30 20:24:48 - User: sharon, Character: sharon, Week: 3, Day: monday, Block: block1, Length: 7 chars
2025-06-30 20:24:49 - User: sharon, Character: sharon, Week: 3, Day: monday, Block: block1, Length: 7 chars
2025-06-30 21:00:25 - User: GM, Character: frunk, Week: 1, Day: monday, Block: block1, Length: 6 chars
2025-06-30 21:00:26 - User: GM, Character: frunk, Week: 1, Day: monday, Block: block1, Length: 6 chars
2025-06-30 21:00:29 - User: GM, Character: frunk, Week: 2, Day: monday, Block: block1, Length: 6 chars
2025-06-30 21:00:32 - User: GM, Character: frunk, Week: 2, Day: monday, Block: block1, Length: 6 chars
2025-06-30 21:04:10 - User: GM, Character: frunk, Week: 1, Day: tuesday, Block: block1, Length: 4 chars
2025-06-30 21:04:12 - User: GM, Character: frunk, Week: 1, Day: tuesday, Block: block1, Length: 6 chars
2025-06-30 21:04:12 - User: GM, Character: frunk, Week: 1, Day: tuesday, Block: block1, Length: 6 chars
2025-06-30 21:08:53 - User: GM, Character: frunk, Week: 1, Day: monday, Block: block1, Length: 4 chars
2025-06-30 21:18:56 - User: frunk, Character: frunk, Week: 1, Day: monday, Block: block1, Length: 4 chars
2025-06-30 21:19:00 - User: frunk, Character: frunk, Week: 1, Day: monday, Block: block2, Length: 11 chars
2025-06-30 21:19:00 - User: frunk, Character: frunk, Week: 1, Day: monday, Block: block2, Length: 11 chars
2025-06-30 21:19:04 - User: frunk, Character: frunk, Week: 1, Day: tuesday, Block: block2, Length: 11 chars
2025-06-30 21:19:04 - User: frunk, Character: frunk, Week: 1, Day: tuesday, Block: block2, Length: 11 chars
2025-06-30 21:19:09 - User: frunk, Character: frunk, Week: 2, Day: monday, Block: block2, Length: 11 chars
2025-06-30 21:19:10 - User: frunk, Character: frunk, Week: 2, Day: monday, Block: block2, Length: 11 chars
2025-06-30 21:19:43 - User: GM, Character: frunk, Week: 1, Day: monday, Block: block1, Length: 0 chars
2025-06-30 21:40:47 - User: GM, Character: frunk, Week: 3, Day: monday, Block: block1, Length: 4 chars
2025-07-01 00:31:47 - User: GM, Character: frunk, Week: 3, Day: monday, Block: block1, Length: 0 chars
2025-07-01 00:31:52 - User: GM, Character: frunk, Week: 3, Day: monday, Block: block1, Length: 0 chars
2025-07-01 01:44:44 - User: frunk, Character: frunk, Week: 4, Day: tuesday, Block: block3, Length: 0 chars
2025-07-01 01:44:46 - User: frunk, Character: frunk, Week: 4, Day: tuesday, Block: block2, Length: 7 chars
2025-07-01 01:44:48 - User: frunk, Character: frunk, Week: 4, Day: tuesday, Block: block2, Length: 7 chars
2025-07-01 01:44:51 - User: frunk, Character: frunk, Week: 4, Day: tuesday, Block: block2, Length: 8 chars
2025-07-01 01:44:51 - User: frunk, Character: frunk, Week: 4, Day: tuesday, Block: block2, Length: 8 chars
2025-07-01 01:44:53 - User: frunk, Character: frunk, Week: 4, Day: tuesday, Block: block2, Length: 13 chars
2025-07-01 01:44:54 - User: frunk, Character: frunk, Week: 4, Day: tuesday, Block: block2, Length: 15 chars
2025-07-01 01:44:55 - User: frunk, Character: frunk, Week: 4, Day: tuesday, Block: block2, Length: 15 chars
2025-07-01 01:45:04 - User: frunk, Character: frunk, Week: 4, Day: tuesday, Block: block2, Length: 24 chars
2025-07-01 01:45:06 - User: frunk, Character: frunk, Week: 4, Day: tuesday, Block: block2, Length: 29 chars
2025-07-01 01:45:08 - User: frunk, Character: frunk, Week: 4, Day: tuesday, Block: block2, Length: 30 chars
2025-07-01 01:45:17 - User: frunk, Character: frunk, Week: 4, Day: tuesday, Block: block2, Length: 30 chars
2025-07-01 01:45:48 - User: zepha, Character: zepha, Week: 4, Day: monday, Block: block1, Length: 0 chars
2025-07-01 01:46:04 - User: zepha, Character: zepha, Week: 4, Day: monday, Block: block1, Length: 17 chars
2025-07-01 01:46:05 - User: zepha, Character: zepha, Week: 4, Day: monday, Block: block1, Length: 17 chars
2025-07-01 01:46:05 - User: frunk, Character: frunk, Week: 4, Day: tuesday, Block: block2, Length: 30 chars
